"Location","Target","Type","Unit","Bin_start_incl","Bin_end_notincl","Value"
"US National","Season onset","Point","week",NA,NA,47
"US National","Season onset","Bin","week","40","41",0
"US National","Season onset","Bin","week","41","42",0
"US National","Season onset","Bin","week","42","43",0
"US National","Season onset","Bin","week","43","44",0
"US National","Season onset","Bin","week","44","45",0
"US National","Season onset","Bin","week","45","46",0
"US National","Season onset","Bin","week","46","47",0
"US National","Season onset","Bin","week","47","48",0
"US National","Season onset","Bin","week","48","49",0
"US National","Season onset","Bin","week","49","50",0
"US National","Season onset","Bin","week","50","51",0
"US National","Season onset","Bin","week","51","52",0
"US National","Season onset","Bin","week","52","53",0
"US National","Season onset","Bin","week","1","2",0
"US National","Season onset","Bin","week","2","3",0
"US National","Season onset","Bin","week","3","4",0
"US National","Season onset","Bin","week","4","5",0
"US National","Season onset","Bin","week","5","6",0
"US National","Season onset","Bin","week","6","7",0
"US National","Season onset","Bin","week","7","8",0
"US National","Season onset","Bin","week","8","9",0
"US National","Season onset","Bin","week","9","10",0
"US National","Season onset","Bin","week","10","11",0
"US National","Season onset","Bin","week","11","12",0
"US National","Season onset","Bin","week","12","13",0
"US National","Season onset","Bin","week","13","14",0
"US National","Season onset","Bin","week","14","15",0
"US National","Season onset","Bin","week","15","16",0
"US National","Season onset","Bin","week","16","17",0
"US National","Season onset","Bin","week","17","18",0
"US National","Season onset","Bin","week","18","19",0
"US National","Season onset","Bin","week","19","20",0
"US National","Season onset","Bin","week","20","21",0
"US National","Season onset","Bin","week","none","none",1
"US National","Season peak week","Point","week",NA,NA,59
"US National","Season peak week","Bin","week","40","41",NA
"US National","Season peak week","Bin","week","41","42",NA
"US National","Season peak week","Bin","week","42","43",NA
"US National","Season peak week","Bin","week","43","44",NA
"US National","Season peak week","Bin","week","44","45",NA
"US National","Season peak week","Bin","week","45","46",NA
"US National","Season peak week","Bin","week","46","47",NA
"US National","Season peak week","Bin","week","47","48",NA
"US National","Season peak week","Bin","week","48","49",NA
"US National","Season peak week","Bin","week","49","50",NA
"US National","Season peak week","Bin","week","50","51",NA
"US National","Season peak week","Bin","week","51","52",NA
"US National","Season peak week","Bin","week","52","53",NA
"US National","Season peak week","Bin","week","1","2",NA
"US National","Season peak week","Bin","week","2","3",NA
"US National","Season peak week","Bin","week","3","4",NA
"US National","Season peak week","Bin","week","4","5",NA
"US National","Season peak week","Bin","week","5","6",NA
"US National","Season peak week","Bin","week","6","7",NA
"US National","Season peak week","Bin","week","7","8",NA
"US National","Season peak week","Bin","week","8","9",NA
"US National","Season peak week","Bin","week","9","10",NA
"US National","Season peak week","Bin","week","10","11",NA
"US National","Season peak week","Bin","week","11","12",NA
"US National","Season peak week","Bin","week","12","13",NA
"US National","Season peak week","Bin","week","13","14",NA
"US National","Season peak week","Bin","week","14","15",NA
"US National","Season peak week","Bin","week","15","16",NA
"US National","Season peak week","Bin","week","16","17",NA
"US National","Season peak week","Bin","week","17","18",NA
"US National","Season peak week","Bin","week","18","19",NA
"US National","Season peak week","Bin","week","19","20",NA
"US National","Season peak week","Bin","week","20","21",NA
"US National","Season peak percentage","Point","percent",NA,NA,13
"US National","Season peak percentage","Bin","percent","0","0.1",0
"US National","Season peak percentage","Bin","percent","0.1","0.2",0
"US National","Season peak percentage","Bin","percent","0.2","0.3",0
"US National","Season peak percentage","Bin","percent","0.3","0.4",0
"US National","Season peak percentage","Bin","percent","0.4","0.5",0
"US National","Season peak percentage","Bin","percent","0.5","0.6",0
"US National","Season peak percentage","Bin","percent","0.6","0.7",0
"US National","Season peak percentage","Bin","percent","0.7","0.8",0
"US National","Season peak percentage","Bin","percent","0.8","0.9",0
"US National","Season peak percentage","Bin","percent","0.9","1",0
"US National","Season peak percentage","Bin","percent","1","1.1",0
"US National","Season peak percentage","Bin","percent","1.1","1.2",0
"US National","Season peak percentage","Bin","percent","1.2","1.3",0
"US National","Season peak percentage","Bin","percent","1.3","1.4",0
"US National","Season peak percentage","Bin","percent","1.4","1.5",0
"US National","Season peak percentage","Bin","percent","1.5","1.6",0
"US National","Season peak percentage","Bin","percent","1.6","1.7",0
"US National","Season peak percentage","Bin","percent","1.7","1.8",0
"US National","Season peak percentage","Bin","percent","1.8","1.9",0
"US National","Season peak percentage","Bin","percent","1.9","2",0
"US National","Season peak percentage","Bin","percent","2","2.1",0
"US National","Season peak percentage","Bin","percent","2.1","2.2",0
"US National","Season peak percentage","Bin","percent","2.2","2.3",0
"US National","Season peak percentage","Bin","percent","2.3","2.4",0
"US National","Season peak percentage","Bin","percent","2.4","2.5",0
"US National","Season peak percentage","Bin","percent","2.5","2.6",0
"US National","Season peak percentage","Bin","percent","2.6","2.7",0
"US National","Season peak percentage","Bin","percent","2.7","2.8",0
"US National","Season peak percentage","Bin","percent","2.8","2.9",0
"US National","Season peak percentage","Bin","percent","2.9","3",0
"US National","Season peak percentage","Bin","percent","3","3.1",0
"US National","Season peak percentage","Bin","percent","3.1","3.2",0
"US National","Season peak percentage","Bin","percent","3.2","3.3",0
"US National","Season peak percentage","Bin","percent","3.3","3.4",0
"US National","Season peak percentage","Bin","percent","3.4","3.5",0
"US National","Season peak percentage","Bin","percent","3.5","3.6",0
"US National","Season peak percentage","Bin","percent","3.6","3.7",0
"US National","Season peak percentage","Bin","percent","3.7","3.8",0
"US National","Season peak percentage","Bin","percent","3.8","3.9",0
"US National","Season peak percentage","Bin","percent","3.9","4",0
"US National","Season peak percentage","Bin","percent","4","4.1",0
"US National","Season peak percentage","Bin","percent","4.1","4.2",0
"US National","Season peak percentage","Bin","percent","4.2","4.3",0
"US National","Season peak percentage","Bin","percent","4.3","4.4",0.000149566257852229
"US National","Season peak percentage","Bin","percent","4.4","4.5",0
"US National","Season peak percentage","Bin","percent","4.5","4.6",0.000149566257852229
"US National","Season peak percentage","Bin","percent","4.6","4.7",0
"US National","Season peak percentage","Bin","percent","4.7","4.8",0.000149566257852229
"US National","Season peak percentage","Bin","percent","4.8","4.9",0.000149566257852229
"US National","Season peak percentage","Bin","percent","4.9","5",0
"US National","Season peak percentage","Bin","percent","5","5.1",0.000448698773556686
"US National","Season peak percentage","Bin","percent","5.1","5.2",0.000149566257852229
"US National","Season peak percentage","Bin","percent","5.2","5.3",0.000448698773556686
"US National","Season peak percentage","Bin","percent","5.3","5.4",0.000598265031408914
"US National","Season peak percentage","Bin","percent","5.4","5.5",0.000149566257852229
"US National","Season peak percentage","Bin","percent","5.5","5.6",0.000149566257852229
"US National","Season peak percentage","Bin","percent","5.6","5.7",0.000299132515704457
"US National","Season peak percentage","Bin","percent","5.7","5.8",0.000299132515704457
"US National","Season peak percentage","Bin","percent","5.8","5.9",0.000149566257852229
"US National","Season peak percentage","Bin","percent","5.9","6",0.000897397547113371
"US National","Season peak percentage","Bin","percent","6","6.1",0.000299132515704457
"US National","Season peak percentage","Bin","percent","6.1","6.2",0.000598265031408914
"US National","Season peak percentage","Bin","percent","6.2","6.3",0.000747831289261143
"US National","Season peak percentage","Bin","percent","6.3","6.4",0.00119653006281783
"US National","Season peak percentage","Bin","percent","6.4","6.5",0.000897397547113371
"US National","Season peak percentage","Bin","percent","6.5","6.6",0.000747831289261143
"US National","Season peak percentage","Bin","percent","6.6","6.7",0.000598265031408914
"US National","Season peak percentage","Bin","percent","6.7","6.8",0.000448698773556686
"US National","Season peak percentage","Bin","percent","6.8","6.9",0.00119653006281783
"US National","Season peak percentage","Bin","percent","6.9","7",0.000598265031408914
"US National","Season peak percentage","Bin","percent","7","7.1",0.000897397547113371
"US National","Season peak percentage","Bin","percent","7.1","7.2",0.00119653006281783
"US National","Season peak percentage","Bin","percent","7.2","7.3",0.000747831289261143
"US National","Season peak percentage","Bin","percent","7.3","7.4",0.00134609632067006
"US National","Season peak percentage","Bin","percent","7.4","7.5",0.0020939276099312
"US National","Season peak percentage","Bin","percent","7.5","7.6",0.00119653006281783
"US National","Season peak percentage","Bin","percent","7.6","7.7",0.00239306012563566
"US National","Season peak percentage","Bin","percent","7.7","7.8",0.0010469638049656
"US National","Season peak percentage","Bin","percent","7.8","7.9",0.00149566257852229
"US National","Season peak percentage","Bin","percent","7.9","8",0.00239306012563566
"US National","Season peak percentage","Bin","percent","8","8.1",0.00134609632067006
"US National","Season peak percentage","Bin","percent","8.1","8.2",0.00164522883637451
"US National","Season peak percentage","Bin","percent","8.2","8.3",0.00179479509422674
"US National","Season peak percentage","Bin","percent","8.3","8.4",0.00239306012563566
"US National","Season peak percentage","Bin","percent","8.4","8.5",0.00164522883637451
"US National","Season peak percentage","Bin","percent","8.5","8.6",0.00224349386778343
"US National","Season peak percentage","Bin","percent","8.6","8.7",0.0010469638049656
"US National","Season peak percentage","Bin","percent","8.7","8.8",0.0020939276099312
"US National","Season peak percentage","Bin","percent","8.8","8.9",0.0020939276099312
"US National","Season peak percentage","Bin","percent","8.9","9",0.0020939276099312
"US National","Season peak percentage","Bin","percent","9","9.1",0.00134609632067006
"US National","Season peak percentage","Bin","percent","9.1","9.2",0.00194436135207897
"US National","Season peak percentage","Bin","percent","9.2","9.3",0.00134609632067006
"US National","Season peak percentage","Bin","percent","9.3","9.4",0.00194436135207897
"US National","Season peak percentage","Bin","percent","9.4","9.5",0.00254262638348789
"US National","Season peak percentage","Bin","percent","9.5","9.6",0.00224349386778343
"US National","Season peak percentage","Bin","percent","9.6","9.7",0.00344002393060126
"US National","Season peak percentage","Bin","percent","9.7","9.8",0.00239306012563566
"US National","Season peak percentage","Bin","percent","9.8","9.9",0.00224349386778343
"US National","Season peak percentage","Bin","percent","9.9","10",0.00239306012563566
"US National","Season peak percentage","Bin","percent","10","10.1",0.00269219264134011
"US National","Season peak percentage","Bin","percent","10.1","10.2",0.00299132515704457
"US National","Season peak percentage","Bin","percent","10.2","10.3",0.00269219264134011
"US National","Season peak percentage","Bin","percent","10.3","10.4",0.00284175889919234
"US National","Season peak percentage","Bin","percent","10.4","10.5",0.00224349386778343
"US National","Season peak percentage","Bin","percent","10.5","10.6",0.00194436135207897
"US National","Season peak percentage","Bin","percent","10.6","10.7",0.00179479509422674
"US National","Season peak percentage","Bin","percent","10.7","10.8",0.00239306012563566
"US National","Season peak percentage","Bin","percent","10.8","10.9",0.00149566257852229
"US National","Season peak percentage","Bin","percent","10.9","11",0.00344002393060126
"US National","Season peak percentage","Bin","percent","11","11.1",0.00164522883637451
"US National","Season peak percentage","Bin","percent","11.1","11.2",0.00164522883637451
"US National","Season peak percentage","Bin","percent","11.2","11.3",0.00149566257852229
"US National","Season peak percentage","Bin","percent","11.3","11.4",0.0031408914148968
"US National","Season peak percentage","Bin","percent","11.4","11.5",0.00179479509422674
"US National","Season peak percentage","Bin","percent","11.5","11.6",0.00224349386778343
"US National","Season peak percentage","Bin","percent","11.6","11.7",0.00224349386778343
"US National","Season peak percentage","Bin","percent","11.7","11.8",0.00344002393060126
"US National","Season peak percentage","Bin","percent","11.8","11.9",0.00194436135207897
"US National","Season peak percentage","Bin","percent","11.9","12",0.0031408914148968
"US National","Season peak percentage","Bin","percent","12","12.1",0.00269219264134011
"US National","Season peak percentage","Bin","percent","12.1","12.2",0.00329045767274903
"US National","Season peak percentage","Bin","percent","12.2","12.3",0.0031408914148968
"US National","Season peak percentage","Bin","percent","12.3","12.4",0.0020939276099312
"US National","Season peak percentage","Bin","percent","12.4","12.5",0.00358959018845349
"US National","Season peak percentage","Bin","percent","12.5","12.6",0.0031408914148968
"US National","Season peak percentage","Bin","percent","12.6","12.7",0.00179479509422674
"US National","Season peak percentage","Bin","percent","12.7","12.8",0.00269219264134011
"US National","Season peak percentage","Bin","percent","12.8","12.9",0.00149566257852229
"US National","Season peak percentage","Bin","percent","12.9","13",0.00224349386778343
"US National","Season peak percentage","Bin","percent","13","100",0.860005982650314
"US National","1 wk ahead","Point","percent",NA,NA,1.5
"US National","1 wk ahead","Bin","percent","0","0.1",0
"US National","1 wk ahead","Bin","percent","0.1","0.2",0
"US National","1 wk ahead","Bin","percent","0.2","0.3",0
"US National","1 wk ahead","Bin","percent","0.3","0.4",0
"US National","1 wk ahead","Bin","percent","0.4","0.5",0.0017
"US National","1 wk ahead","Bin","percent","0.5","0.6",0.0044
"US National","1 wk ahead","Bin","percent","0.6","0.7",0.0137
"US National","1 wk ahead","Bin","percent","0.7","0.8",0.0236
"US National","1 wk ahead","Bin","percent","0.8","0.9",0.039
"US National","1 wk ahead","Bin","percent","0.9","1",0.0495
"US National","1 wk ahead","Bin","percent","1","1.1",0.0609
"US National","1 wk ahead","Bin","percent","1.1","1.2",0.0646
"US National","1 wk ahead","Bin","percent","1.2","1.3",0.07
"US National","1 wk ahead","Bin","percent","1.3","1.4",0.0719
"US National","1 wk ahead","Bin","percent","1.4","1.5",0.0635
"US National","1 wk ahead","Bin","percent","1.5","1.6",0.0612
"US National","1 wk ahead","Bin","percent","1.6","1.7",0.0559
"US National","1 wk ahead","Bin","percent","1.7","1.8",0.0513
"US National","1 wk ahead","Bin","percent","1.8","1.9",0.0425
"US National","1 wk ahead","Bin","percent","1.9","2",0.0415
"US National","1 wk ahead","Bin","percent","2","2.1",0.035
"US National","1 wk ahead","Bin","percent","2.1","2.2",0.0308
"US National","1 wk ahead","Bin","percent","2.2","2.3",0.029
"US National","1 wk ahead","Bin","percent","2.3","2.4",0.022
"US National","1 wk ahead","Bin","percent","2.4","2.5",0.0183
"US National","1 wk ahead","Bin","percent","2.5","2.6",0.019
"US National","1 wk ahead","Bin","percent","2.6","2.7",0.0151
"US National","1 wk ahead","Bin","percent","2.7","2.8",0.0122
"US National","1 wk ahead","Bin","percent","2.8","2.9",0.0113
"US National","1 wk ahead","Bin","percent","2.9","3",0.01
"US National","1 wk ahead","Bin","percent","3","3.1",0.0093
"US National","1 wk ahead","Bin","percent","3.1","3.2",0.0073
"US National","1 wk ahead","Bin","percent","3.2","3.3",0.0053
"US National","1 wk ahead","Bin","percent","3.3","3.4",0.0067
"US National","1 wk ahead","Bin","percent","3.4","3.5",0.0046
"US National","1 wk ahead","Bin","percent","3.5","3.6",0.0051
"US National","1 wk ahead","Bin","percent","3.6","3.7",0.0051
"US National","1 wk ahead","Bin","percent","3.7","3.8",0.0036
"US National","1 wk ahead","Bin","percent","3.8","3.9",0.0029
"US National","1 wk ahead","Bin","percent","3.9","4",0.0028
"US National","1 wk ahead","Bin","percent","4","4.1",0.0024
"US National","1 wk ahead","Bin","percent","4.1","4.2",0.0021
"US National","1 wk ahead","Bin","percent","4.2","4.3",0.0019
"US National","1 wk ahead","Bin","percent","4.3","4.4",0.0015
"US National","1 wk ahead","Bin","percent","4.4","4.5",0.0017
"US National","1 wk ahead","Bin","percent","4.5","4.6",0.002
"US National","1 wk ahead","Bin","percent","4.6","4.7",0.0014
"US National","1 wk ahead","Bin","percent","4.7","4.8",0.0019
"US National","1 wk ahead","Bin","percent","4.8","4.9",0.0013
"US National","1 wk ahead","Bin","percent","4.9","5",0.0011
"US National","1 wk ahead","Bin","percent","5","5.1",7e-04
"US National","1 wk ahead","Bin","percent","5.1","5.2",0.0012
"US National","1 wk ahead","Bin","percent","5.2","5.3",6e-04
"US National","1 wk ahead","Bin","percent","5.3","5.4",8e-04
"US National","1 wk ahead","Bin","percent","5.4","5.5",1e-04
"US National","1 wk ahead","Bin","percent","5.5","5.6",0.000900000000000001
"US National","1 wk ahead","Bin","percent","5.6","5.7",2e-04
"US National","1 wk ahead","Bin","percent","5.7","5.8",3e-04
"US National","1 wk ahead","Bin","percent","5.8","5.9",4e-04
"US National","1 wk ahead","Bin","percent","5.9","6",4e-04
"US National","1 wk ahead","Bin","percent","6","6.1",2e-04
"US National","1 wk ahead","Bin","percent","6.1","6.2",3e-04
"US National","1 wk ahead","Bin","percent","6.2","6.3",4e-04
"US National","1 wk ahead","Bin","percent","6.3","6.4",2e-04
"US National","1 wk ahead","Bin","percent","6.4","6.5",4e-04
"US National","1 wk ahead","Bin","percent","6.5","6.6",3e-04
"US National","1 wk ahead","Bin","percent","6.6","6.7",3e-04
"US National","1 wk ahead","Bin","percent","6.7","6.8",4e-04
"US National","1 wk ahead","Bin","percent","6.8","6.9",1e-04
"US National","1 wk ahead","Bin","percent","6.9","7",2e-04
"US National","1 wk ahead","Bin","percent","7","7.1",3e-04
"US National","1 wk ahead","Bin","percent","7.1","7.2",1e-04
"US National","1 wk ahead","Bin","percent","7.2","7.3",1e-04
"US National","1 wk ahead","Bin","percent","7.3","7.4",0
"US National","1 wk ahead","Bin","percent","7.4","7.5",1e-04
"US National","1 wk ahead","Bin","percent","7.5","7.6",1e-04
"US National","1 wk ahead","Bin","percent","7.6","7.7",0
"US National","1 wk ahead","Bin","percent","7.7","7.8",1e-04
"US National","1 wk ahead","Bin","percent","7.8","7.9",0
"US National","1 wk ahead","Bin","percent","7.9","8",1e-04
"US National","1 wk ahead","Bin","percent","8","8.1",0
"US National","1 wk ahead","Bin","percent","8.1","8.2",2e-04
"US National","1 wk ahead","Bin","percent","8.2","8.3",0
"US National","1 wk ahead","Bin","percent","8.3","8.4",2e-04
"US National","1 wk ahead","Bin","percent","8.4","8.5",0
"US National","1 wk ahead","Bin","percent","8.5","8.6",1e-04
"US National","1 wk ahead","Bin","percent","8.6","8.7",1e-04
"US National","1 wk ahead","Bin","percent","8.7","8.8",0
"US National","1 wk ahead","Bin","percent","8.8","8.9",2e-04
"US National","1 wk ahead","Bin","percent","8.9","9",1e-04
"US National","1 wk ahead","Bin","percent","9","9.1",0
"US National","1 wk ahead","Bin","percent","9.1","9.2",0
"US National","1 wk ahead","Bin","percent","9.2","9.3",2e-04
"US National","1 wk ahead","Bin","percent","9.3","9.4",1e-04
"US National","1 wk ahead","Bin","percent","9.4","9.5",2e-04
"US National","1 wk ahead","Bin","percent","9.5","9.6",0
"US National","1 wk ahead","Bin","percent","9.6","9.7",1e-04
