"Location","Target","Type","Unit","Bin_start_incl","Bin_end_notincl","Value"
"US National","Season onset","Point","week",NA,NA,49
"US National","Season onset","Bin","week","40","41",0
"US National","Season onset","Bin","week","41","42",0
"US National","Season onset","Bin","week","42","43",0
"US National","Season onset","Bin","week","43","44",0
"US National","Season onset","Bin","week","44","45",0
"US National","Season onset","Bin","week","45","46",0
"US National","Season onset","Bin","week","46","47",0
"US National","Season onset","Bin","week","47","48",0
"US National","Season onset","Bin","week","48","49",0
"US National","Season onset","Bin","week","49","50",0.563708477937531
"US National","Season onset","Bin","week","50","51",0.15592464055528
"US National","Season onset","Bin","week","51","52",0.0959345562716906
"US National","Season onset","Bin","week","52","53",0.0684184432325235
"US National","Season onset","Bin","week","1","2",0.0342092216162618
"US National","Season onset","Bin","week","2","3",0.0262766484878532
"US National","Season onset","Bin","week","3","4",0.0183440753594447
"US National","Season onset","Bin","week","4","5",0.0104115022310362
"US National","Season onset","Bin","week","5","6",0.00793257312840853
"US National","Season onset","Bin","week","6","7",0.00322260783341596
"US National","Season onset","Bin","week","7","8",0.00123946455131383
"US National","Season onset","Bin","week","8","9",0.00198314328210213
"US National","Season onset","Bin","week","9","10",0.000991571641051065
"US National","Season onset","Bin","week","10","11",0.00123946455131383
"US National","Season onset","Bin","week","11","12",0.000247892910262766
"US National","Season onset","Bin","week","12","13",0.000495785820525533
"US National","Season onset","Bin","week","13","14",0.000247892910262766
"US National","Season onset","Bin","week","14","15",0.000247892910262766
"US National","Season onset","Bin","week","15","16",0
"US National","Season onset","Bin","week","16","17",0.000247892910262766
"US National","Season onset","Bin","week","17","18",0.000247892910262766
"US National","Season onset","Bin","week","18","19",0
"US National","Season onset","Bin","week","19","20",0
"US National","Season onset","Bin","week","20","21",0
"US National","Season onset","Bin","week","none","none",0.00842835894893406
"US National","Season peak week","Point","week",NA,NA,2
"US National","Season peak week","Bin","week","40","41",0
"US National","Season peak week","Bin","week","41","42",0
"US National","Season peak week","Bin","week","42","43",0
"US National","Season peak week","Bin","week","43","44",0
"US National","Season peak week","Bin","week","44","45",0
"US National","Season peak week","Bin","week","45","46",0
"US National","Season peak week","Bin","week","46","47",0
"US National","Season peak week","Bin","week","47","48",0
"US National","Season peak week","Bin","week","48","49",0
"US National","Season peak week","Bin","week","49","50",0.0626773596545343
"US National","Season peak week","Bin","week","50","51",0.0903146206045651
"US National","Season peak week","Bin","week","51","52",0.105490438001234
"US National","Season peak week","Bin","week","52","53",0.104750154225787
"US National","Season peak week","Bin","week","1","2",0.0789636027143738
"US National","Season peak week","Bin","week","2","3",0.0799506477483035
"US National","Season peak week","Bin","week","3","4",0.0715607649599013
"US National","Season peak week","Bin","week","4","5",0.0692165330043183
"US National","Season peak week","Bin","week","5","6",0.0610734114743985
"US National","Season peak week","Bin","week","6","7",0.0528069093152375
"US National","Season peak week","Bin","week","7","8",0.0420727945712523
"US National","Season peak week","Bin","week","8","9",0.0344231955582973
"US National","Season peak week","Bin","week","9","10",0.028871067242443
"US National","Season peak week","Bin","week","10","11",0.0273904996915484
"US National","Season peak week","Bin","week","11","12",0.0215916101172116
"US National","Season peak week","Bin","week","12","13",0.0173966687230105
"US National","Season peak week","Bin","week","13","14",0.0150524367674275
"US National","Season peak week","Bin","week","14","15",0.00925354719309068
"US National","Season peak week","Bin","week","15","16",0.00715607649599013
"US National","Season peak week","Bin","week","16","17",0.00481184454040715
"US National","Season peak week","Bin","week","17","18",0.00444170265268353
"US National","Season peak week","Bin","week","18","19",0.00394818013571869
"US National","Season peak week","Bin","week","19","20",0.00370141887723628
"US National","Season peak week","Bin","week","20","21",0.00308451573103023
"US National","Season peak percentage","Point","percent",NA,NA,13
"US National","Season peak percentage","Bin","percent","0","0.1",0
"US National","Season peak percentage","Bin","percent","0.1","0.2",0
"US National","Season peak percentage","Bin","percent","0.2","0.3",0
"US National","Season peak percentage","Bin","percent","0.3","0.4",0
"US National","Season peak percentage","Bin","percent","0.4","0.5",0
"US National","Season peak percentage","Bin","percent","0.5","0.6",0
"US National","Season peak percentage","Bin","percent","0.6","0.7",0
"US National","Season peak percentage","Bin","percent","0.7","0.8",0
"US National","Season peak percentage","Bin","percent","0.8","0.9",0
"US National","Season peak percentage","Bin","percent","0.9","1",0
"US National","Season peak percentage","Bin","percent","1","1.1",0
"US National","Season peak percentage","Bin","percent","1.1","1.2",0
"US National","Season peak percentage","Bin","percent","1.2","1.3",0
"US National","Season peak percentage","Bin","percent","1.3","1.4",0
"US National","Season peak percentage","Bin","percent","1.4","1.5",0
"US National","Season peak percentage","Bin","percent","1.5","1.6",0
"US National","Season peak percentage","Bin","percent","1.6","1.7",0
"US National","Season peak percentage","Bin","percent","1.7","1.8",0
"US National","Season peak percentage","Bin","percent","1.8","1.9",0
"US National","Season peak percentage","Bin","percent","1.9","2",0
"US National","Season peak percentage","Bin","percent","2","2.1",0
"US National","Season peak percentage","Bin","percent","2.1","2.2",0
"US National","Season peak percentage","Bin","percent","2.2","2.3",0
"US National","Season peak percentage","Bin","percent","2.3","2.4",0
"US National","Season peak percentage","Bin","percent","2.4","2.5",0
"US National","Season peak percentage","Bin","percent","2.5","2.6",0
"US National","Season peak percentage","Bin","percent","2.6","2.7",0
"US National","Season peak percentage","Bin","percent","2.7","2.8",0
"US National","Season peak percentage","Bin","percent","2.8","2.9",0
"US National","Season peak percentage","Bin","percent","2.9","3",0
"US National","Season peak percentage","Bin","percent","3","3.1",0
"US National","Season peak percentage","Bin","percent","3.1","3.2",0
"US National","Season peak percentage","Bin","percent","3.2","3.3",0
"US National","Season peak percentage","Bin","percent","3.3","3.4",0
"US National","Season peak percentage","Bin","percent","3.4","3.5",0
"US National","Season peak percentage","Bin","percent","3.5","3.6",0
"US National","Season peak percentage","Bin","percent","3.6","3.7",0
"US National","Season peak percentage","Bin","percent","3.7","3.8",0
"US National","Season peak percentage","Bin","percent","3.8","3.9",0
"US National","Season peak percentage","Bin","percent","3.9","4",0
"US National","Season peak percentage","Bin","percent","4","4.1",0
"US National","Season peak percentage","Bin","percent","4.1","4.2",0
"US National","Season peak percentage","Bin","percent","4.2","4.3",0
"US National","Season peak percentage","Bin","percent","4.3","4.4",0.000247892910262767
"US National","Season peak percentage","Bin","percent","4.4","4.5",0
"US National","Season peak percentage","Bin","percent","4.5","4.6",0.000495785820525533
"US National","Season peak percentage","Bin","percent","4.6","4.7",0.000495785820525533
"US National","Season peak percentage","Bin","percent","4.7","4.8",0
"US National","Season peak percentage","Bin","percent","4.8","4.9",0
"US National","Season peak percentage","Bin","percent","4.9","5",0.000247892910262767
"US National","Season peak percentage","Bin","percent","5","5.1",0.000247892910262767
"US National","Season peak percentage","Bin","percent","5.1","5.2",0.000247892910262767
"US National","Season peak percentage","Bin","percent","5.2","5.3",0.000247892910262767
"US National","Season peak percentage","Bin","percent","5.3","5.4",0
"US National","Season peak percentage","Bin","percent","5.4","5.5",0.000247892910262767
"US National","Season peak percentage","Bin","percent","5.5","5.6",0.000495785820525533
"US National","Season peak percentage","Bin","percent","5.6","5.7",0.000247892910262767
"US National","Season peak percentage","Bin","percent","5.7","5.8",0.000247892910262767
"US National","Season peak percentage","Bin","percent","5.8","5.9",0.000495785820525533
"US National","Season peak percentage","Bin","percent","5.9","6",0.000247892910262767
"US National","Season peak percentage","Bin","percent","6","6.1",0.000495785820525533
"US National","Season peak percentage","Bin","percent","6.1","6.2",0.00123946455131383
"US National","Season peak percentage","Bin","percent","6.2","6.3",0.000247892910262767
"US National","Season peak percentage","Bin","percent","6.3","6.4",0.00123946455131383
"US National","Season peak percentage","Bin","percent","6.4","6.5",0.0007436787307883
"US National","Season peak percentage","Bin","percent","6.5","6.6",0.000247892910262767
"US National","Season peak percentage","Bin","percent","6.6","6.7",0.0007436787307883
"US National","Season peak percentage","Bin","percent","6.7","6.8",0
"US National","Season peak percentage","Bin","percent","6.8","6.9",0.000991571641051066
"US National","Season peak percentage","Bin","percent","6.9","7",0.00123946455131383
"US National","Season peak percentage","Bin","percent","7","7.1",0.00123946455131383
"US National","Season peak percentage","Bin","percent","7.1","7.2",0.0007436787307883
"US National","Season peak percentage","Bin","percent","7.2","7.3",0.0007436787307883
"US National","Season peak percentage","Bin","percent","7.3","7.4",0.00123946455131383
"US National","Season peak percentage","Bin","percent","7.4","7.5",0.0014873574615766
"US National","Season peak percentage","Bin","percent","7.5","7.6",0.00173525037183937
"US National","Season peak percentage","Bin","percent","7.6","7.7",0.0014873574615766
"US National","Season peak percentage","Bin","percent","7.7","7.8",0.00123946455131383
"US National","Season peak percentage","Bin","percent","7.8","7.9",0.00173525037183937
"US National","Season peak percentage","Bin","percent","7.9","8",0.000495785820525533
"US National","Season peak percentage","Bin","percent","8","8.1",0.00123946455131383
