"Location","Target","Type","Unit","Bin_start_incl","Bin_end_notincl","Value"
"US National","Season onset","Point","week",NA,NA,51
"US National","Season onset","Bin","week","40","41",0
"US National","Season onset","Bin","week","41","42",0
"US National","Season onset","Bin","week","42","43",0
"US National","Season onset","Bin","week","43","44",0.004
"US National","Season onset","Bin","week","44","45",0.002
"US National","Season onset","Bin","week","45","46",0.003
"US National","Season onset","Bin","week","46","47",0.008
"US National","Season onset","Bin","week","47","48",0.019
"US National","Season onset","Bin","week","48","49",0.004
"US National","Season onset","Bin","week","49","50",0.078
"US National","Season onset","Bin","week","50","51",0.207
"US National","Season onset","Bin","week","51","52",0.343
"US National","Season onset","Bin","week","52","53",0.024
"US National","Season onset","Bin","week","1","2",0.011
"US National","Season onset","Bin","week","2","3",0.127
"US National","Season onset","Bin","week","3","4",0.078
"US National","Season onset","Bin","week","4","5",0.055
"US National","Season onset","Bin","week","5","6",0.029
"US National","Season onset","Bin","week","6","7",0.008
"US National","Season onset","Bin","week","7","8",0
"US National","Season onset","Bin","week","8","9",0
"US National","Season onset","Bin","week","9","10",0
"US National","Season onset","Bin","week","10","11",0
"US National","Season onset","Bin","week","11","12",0
"US National","Season onset","Bin","week","12","13",0
"US National","Season onset","Bin","week","13","14",0
"US National","Season onset","Bin","week","14","15",0
"US National","Season onset","Bin","week","15","16",0
"US National","Season onset","Bin","week","16","17",0
"US National","Season onset","Bin","week","17","18",0
"US National","Season onset","Bin","week","18","19",0
"US National","Season onset","Bin","week","19","20",0
"US National","Season onset","Bin","week","20","21",0
"US National","Season onset","Bin","week","none","none",0
"US National","Season peak week","Point","week",NA,NA,10
"US National","Season peak week","Bin","week","40","41",0.00288461538461539
"US National","Season peak week","Bin","week","41","42",0.000961538461538461
"US National","Season peak week","Bin","week","42","43",0.00288461538461539
"US National","Season peak week","Bin","week","43","44",0.00192307692307692
"US National","Season peak week","Bin","week","44","45",0.00288461538461539
"US National","Season peak week","Bin","week","45","46",0.00576923076923077
"US National","Season peak week","Bin","week","46","47",0.00192307692307692
"US National","Season peak week","Bin","week","47","48",0.0144230769230769
"US National","Season peak week","Bin","week","48","49",0.00480769230769231
"US National","Season peak week","Bin","week","49","50",0.00384615384615385
"US National","Season peak week","Bin","week","50","51",0.0115384615384615
"US National","Season peak week","Bin","week","51","52",0.0201923076923077
"US National","Season peak week","Bin","week","52","53",0.0192307692307692
"US National","Season peak week","Bin","week","1","2",0.0115384615384615
"US National","Season peak week","Bin","week","2","3",0.0144230769230769
"US National","Season peak week","Bin","week","3","4",0.00961538461538462
"US National","Season peak week","Bin","week","4","5",0.025
